Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Janczyk Wiesław	PiS	150	X37493	X29021	150	8402
Janik Grzegorz	PiS	1110	X37493	X29021	1110	8402
Janowska Zdzisława	SLD	1950	X37493	X29021	1950	8402
Jarmuziewicz Tadeusz	PO	1458	X37493	X29021	1458	8402
Jaros Michał	PO	902	X37493	X29021	902	8402
Jaruga-Nowacka Izabela	Lewica	4534	X33876	X29021	938	4806
Jasiński Wojciech	PiS	1122	X37493	X29021	1122	8402
Jastrzębski Leszek	PO	3740	X37493	X32335	469	5131
Jaworski Andrzej	PiS	3959	X37493	X32335	688	5131
Jazłowiecka Danuta	PO	5332	X32333	X29021	200	3270
Jurgiel Krzysztof	PiS	761	X37493	X29021	761	8402
Kaczanowski Dariusz	PiS	153	X37493	X29021	153	8402
Kaczor Roman	PO	302	X37493	X29041	283	8383
Kaczyński Jarosław	PiS	2299	X37364	X29021	2170	8273
Kalemba Stanisław	PSL	576	X37493	X29021	576	8402
Kalinowski Jarosław	PSL	6614	X32334	X29021	1483	3271
Kalisz Ryszard	SLD	2165	X37493	X29021	2165	8402
Kamiński Jan	PSL	245	X37364	X29021	116	8273
Kamiński Mariusz	PiS	1087	X37437	X29021	1031	8346
Kamiński Tomasz	SLD	1434	X37490	X29021	1431	8399
Kania Andrzej	PO	399	X37493	X29021	399	8402
Karasiewicz Lucjan	PJN	2464	X37493	X29021	2464	8402
Karpiniuk Sebastian	PO	3811	X33876	X29021	215	4806
Karpiński Grzegorz	PO	93	X37493	X29021	93	8402
Karpiński Włodzimierz	PO	554	X37493	X29021	554	8402
Karski Karol	PiS	1531	X37487	X29021	1525	8396
Kasprzak Mieczysław	PSL	724	X37493	X29021	724	8402
Kasprzyk Jacek	SLD	6189	X37493	X35050	222	2435
Katulski Jarosław	PO	899	X37364	X29021	770	8273
Kaźmierczak Jan	PO	373	X37493	X29021	373	8402
Kempa Beata	PiS	1222	X37493	X29021	1222	8402
Kidawa-Błońska Małgorzata	PO	257	X37493	X29021	257	8402
Kierzkowska Ewa	PSL	681	X37493	X29021	681	8402
Kilian Wiesław	PO	4979	X37493	X34028	22	3445
Klepacz Witold	SLD	2378	X37272	X29021	2157	8181
Klim Józef Piotr	PO	59	X37493	X29021	59	8402
Kloc Izabela	PiS	1216	X37364	X29021	1087	8273
Kluzik-Rostkowska Joanna	PO	1174	X37493	X29021	1174	8402
Kochan Magdalena	PO	380	X37493	X29021	380	8402
Kochan Witold	PO	2620	X34921	X29021	60	5842
Kochanowski Jan	SLD	161	X37493	X29021	161	8402
Komorowski Bronisław	PO	3953	X34319	X29021	798	5247
Komołowski Longin	niez.	2582	X37283	X29021	2372	8192
Konwiński Zbigniew	PO	167	X37493	X29021	167	8402
Kopacz Ewa	PO	1349	X37493	X29021	1349	8402
Kopaczewska Domicela	PO	252	X37493	X29021	252	8402
Kopeć Tadeusz	PO	83	X37493	X29021	83	8402
Kopyciński Sławomir	SLD	1561	X37493	X29021	1561	8402
Korzeniowski Leszek	PO	1154	X37364	X29021	1025	8273
Kosecki Roman	PO	353	X37493	X29021	353	8402
Kossakowski Wojciech	PiS	2776	X37493	X31669	171	5797
Kotkowska Bożena	SLD	491	X37492	X29021	490	8401
Kowal Paweł	PiS	5869	X32317	X29021	721	3254
Kowalczyk Henryk	PiS	262	X37492	X29021	261	8401
Kowalik Jacek	SLD	5037	X37493	X34084	24	3389
Kowalski Bogusław	PiS	784	X37493	X29021	784	8402
Kozaczyński Jacek	PO	248	X37493	X29021	248	8402
Kozak Zbigniew	PiS	900	X37364	X29021	771	8273
Kozdroń Jerzy	PO	152	X37493	X29021	152	8402
Kozłowska-Rajewicz Agnieszka	PO	339	X37493	X29021	339	8402
Kołakowski Lech	PiS	342	X37493	X29021	342	8402
Kołakowski Robert	PiS	817	X37493	X29021	817	8402
Koźlakiewicz Mirosław	PO	851	X37364	X29021	722	8273
Kraczkowski Maks	PiS	845	X37490	X29021	842	8399
Krasoń Janusz	SLD	887	X37493	X29021	887	8402
Krasulski Leonard	PiS	106	X37493	X29021	106	8402
Kropiwnicki Robert	PO	5984	X37493	X35050	17	2435
Kruk Elżbieta	PiS	1796	X37493	X29021	1796	8402
Krupa Adam	PO	13	X37493	X29021	13	8402
Krupa Jacek	PO	74	X37493	X29021	74	8402
